交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,9.67,9.87,9.64,9.8,22514585,219773814.0,1.14,0.11,0.56,,,4.8077,0.564,1.505,0.7863,39411226789.2,1116145556.0,99418437.0,2.47,0.0,,,,1773331200000
2026-03-16,9.79,10.03,9.77,9.98,24839112,246687163.0,1.84,0.18,0.62,,,4.896,0.575,1.5327,0.8007,40135106464.92,1105727757.0,99418437.0,2.47,0.0,,,,1773590400000
2026-03-17,9.98,10.08,9.95,10.01,19547511,196192631.0,0.3,0.03,0.49,,,4.9107,0.576,1.5373,0.8031,40255753077.54,1078394801.0,99418437.0,2.47,0.0,,,,1773676800000
2026-03-18,10.01,10.03,9.88,9.94,14700955,146297022.0,-0.7,-0.07,0.37,,,4.8764,0.572,1.5265,0.7975,39974244314.76,1075144398.0,99418437.0,2.47,0.0,,,,1773763200000
2026-03-19,9.9,10.02,9.79,9.84,13841108,137204634.0,-1.01,-0.1,0.34,,,4.8273,0.567,1.5112,0.7895,39572088939.36,1073248858.0,99418437.0,2.47,0.0,,,,1773849600000
2026-03-20,9.84,9.91,9.76,9.79,14457239,142214501.0,-0.51,-0.05,0.36,,,4.8028,0.564,1.5035,0.7855,39371011251.66,1069021882.0,99418437.0,2.47,0.0,,,,1773936000000
2026-03-23,9.78,9.8,9.28,9.32,29254750,276828171.0,-4.8,-0.47,0.73,,,4.5722,0.537,1.4313,0.7477,37480880987.28,1072788919.0,99418437.0,2.47,0.0,,,,1774195200000
2026-03-24,9.4,9.63,9.37,9.6,17909823,170793779.0,3.0,0.28,0.45,,,4.7096,0.553,1.4743,0.7702,38606916038.4,1069838803.0,99418437.0,2.47,0.0,,,,1774281600000
2026-03-25,9.61,9.78,9.53,9.71,17622892,170303447.0,1.15,0.11,0.44,,,4.7636,0.559,1.4912,0.779,39049286951.34,1069857606.0,99418437.0,2.47,0.0,,,,1774368000000
2026-03-26,9.66,9.77,9.64,9.66,12943932,125514385.0,-0.51,-0.05,0.32,,,4.739,0.556,1.4835,0.775,38848209263.64,1071648934.0,99418437.0,2.47,0.0,,,,1774454400000
