交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,31.18,31.4,30.6,30.65,15245092,470674148.0,-1.95,-0.61,0.69,,,12.2167,5.058,1.638,21.2274,67857237184.95,229200684.0,251236168.0,11.34,0.0,,,,1773331200000
2026-03-16,30.64,32.01,30.19,31.35,27296260,857673703.0,2.28,0.7,1.23,,,12.4957,5.174,1.6754,21.7122,69406994641.05,219528713.0,251236168.0,11.34,0.0,,,,1773590400000
2026-03-17,31.35,31.54,31.05,31.18,13674687,427700034.0,-0.54,-0.17,0.62,,,12.4279,5.146,1.6664,21.5945,69030624973.14,208314849.0,251236168.0,11.34,0.0,,,,1773676800000
2026-03-18,31.13,31.42,30.38,31.15,13802853,426034298.0,-0.1,-0.03,0.62,,,12.416,5.141,1.6647,21.5737,68964206796.45,217876512.0,251236168.0,11.34,0.0,,,,1773763200000
2026-03-19,30.92,31.88,30.8,31.11,14882005,467471920.0,-0.13,-0.04,0.67,,,12.4,5.134,1.6626,21.546,68875649227.53,225570172.0,251236168.0,11.34,0.0,,,,1773849600000
2026-03-20,31.11,31.2,30.45,30.49,13797141,423974383.0,-1.99,-0.62,0.62,,,12.1529,5.032,1.6295,21.1166,67503006909.27,212473313.0,251236168.0,11.34,0.0,,,,1773936000000
2026-03-23,30.2,31.67,29.94,31.41,30471230,942526033.0,3.02,0.92,1.38,,,12.5196,5.184,1.6786,21.7538,69539830994.43,207237373.0,251236168.0,11.34,0.0,,,,1774195200000
2026-03-24,31.5,32.88,31.15,32.12,31046604,1002663834.0,2.26,0.71,1.4,,,12.8026,5.301,1.7166,22.2455,71111727842.76,220191095.0,251236168.0,11.34,0.0,,,,1774281600000
2026-03-25,32.53,32.6,31.8,32.32,17219777,553234298.0,0.62,0.2,0.78,,,12.8823,5.334,1.7273,22.384,71554515687.36,199506784.0,251236168.0,11.34,0.0,,,,1774368000000
2026-03-26,32.28,33.07,32.2,32.7,22235251,728908444.0,1.18,0.38,1.0,,,13.0338,5.397,1.7476,22.6472,72395812592.1,197548486.0,251236168.0,11.34,0.0,,,,1774454400000
2026-03-27,32.68,33.03,32.16,32.16,21446947,696499449.0,-1.65,-0.54,0.97,,,12.8185,5.308,1.7187,22.2732,71200285411.68,197127165.0,251236168.0,11.34,0.0,,,,1774540800000
2026-03-30,32.18,32.9,32.0,32.6,21006026,681286349.0,1.37,0.44,0.95,,,12.9939,5.38,1.7422,22.5779,72174418669.8,247419771.0,251236168.0,11.34,0.0,,,,1774800000000
2026-03-31,35.86,35.86,35.3,35.86,33446127,1199265614.0,10.0,3.26,1.51,,,14.2933,5.089,1.9165,24.8357,79391860536.78,215665389.0,251236168.0,11.34,0.0,,,,1774886400000
2026-04-01,36.89,38.12,36.12,37.24,91215301,3393680667.0,3.85,1.38,4.12,,,14.8433,5.284,1.9902,25.7915,82447096664.52,270401003.0,251236168.0,11.34,0.0,,,,1774972800000
2026-04-02,37.24,38.5,36.32,38.25,52000153,1972884316.0,2.71,1.01,2.35,,,15.2459,5.428,2.0442,26.491,84683175279.75,242638388.0,251236168.0,11.34,0.0,,,,1775059200000
2026-04-03,38.5,38.5,37.06,37.15,31063070,1161048679.0,-2.88,-1.1,1.4,,,14.8075,5.272,1.9854,25.7291,82247842134.45,238982251.0,,,,,,,1775145600000
