交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,156.0,157.25,155.84,156.42,1210532,189556529.0,0.01,0.02,0.2,,,39.0016,6.521,9.6495,188.1587,94370877988.2,1764900850.28,10502513.0,1.74,0.0,,,,1773331200000
2026-03-16,156.59,161.5,156.59,161.12,3951336,632016966.0,3.0,4.7,0.65,,,40.1735,6.717,9.9394,193.8123,97206468875.2,1768794135.08,10502513.0,1.74,0.0,,,,1773590400000
2026-03-17,161.4,161.8,159.5,159.88,1951348,313319667.0,-0.77,-1.24,0.32,,,39.8643,6.665,9.8629,192.3207,96458355534.8,1750847356.92,10502513.0,1.74,0.0,,,,1773676800000
2026-03-18,159.67,160.5,157.97,158.3,1673838,265672298.0,-0.99,-1.58,0.28,,,39.4704,6.599,9.7654,190.4201,95505114343.0,1756840081.2,10502513.0,1.74,0.0,,,,1773763200000
2026-03-19,157.57,158.0,156.85,157.0,1269476,199719073.0,-0.82,-1.3,0.21,,,39.1462,6.545,9.6852,188.8564,94720801970.0,1752729553.0,10502513.0,1.74,0.0,,,,1773849600000
2026-03-20,156.81,158.58,156.02,156.28,1626232,255737214.0,-0.46,-0.72,0.27,,,38.9667,6.515,9.6408,187.9903,94286413578.8,1742737762.52,10502513.0,1.74,0.0,,,,1773936000000
2026-03-23,155.0,155.27,152.01,152.06,2924823,448223572.0,-2.7,-4.22,0.48,,,37.9145,6.339,9.3805,182.914,91740414952.6,1744229129.04,10502513.0,1.74,0.0,,,,1774195200000
2026-03-24,153.38,153.95,151.33,152.69,1457517,222720800.0,0.41,0.63,0.24,,,38.0716,6.365,9.4194,183.6718,92120504794.9,1737502281.96,10502513.0,1.74,0.0,,,,1774281600000
2026-03-25,152.99,154.22,152.2,154.07,1221156,187348738.0,0.9,1.38,0.2,,,38.4157,6.423,9.5045,185.3318,92953082544.7,1730819956.88,10502513.0,1.74,0.0,,,,1774368000000
2026-03-26,154.06,154.57,151.81,152.15,1228513,187655645.0,-1.25,-1.92,0.2,,,37.9369,6.343,9.3861,183.0223,91794713501.5,1727576873.6,10502513.0,1.74,0.0,,,,1774454400000
2026-03-27,151.61,153.3,151.4,152.93,1050633,160463040.0,0.51,0.78,0.17,,,38.1314,6.375,9.4342,183.9605,92265300925.3,1719452091.12,10502513.0,1.74,0.0,,,,1774540800000
2026-03-30,151.7,152.93,151.5,152.5,1027767,156310078.0,-0.28,-0.43,0.17,,,38.0242,6.357,9.4076,183.4433,92005874525.0,1719200084.0,10502513.0,1.74,0.0,,,,1774800000000
2026-03-31,153.59,154.37,151.08,151.1,1698520,259845305.0,-0.92,-1.4,0.28,,,37.6751,6.299,9.3213,181.7592,91161230431.0,1724020214.4,10502513.0,1.74,0.0,,,,1774886400000
2026-04-01,151.88,153.24,151.55,153.0,1438354,219189934.0,1.26,1.9,0.24,,,38.1489,6.378,9.4385,184.0447,92307533130.0,1719834565.0,10502513.0,1.74,0.0,,,,1774972800000
2026-04-02,154.0,154.07,151.82,152.01,1627987,248564032.0,-0.65,-0.99,0.27,,,37.902,6.337,9.3774,182.8539,91710249092.1,1725161840.84,10502513.0,1.74,0.0,,,,1775059200000
2026-04-03,151.8,152.01,151.0,151.03,1163507,175948809.0,-0.64,-0.98,0.19,,,37.6577,6.296,9.317,181.675,91118998226.3,1720627438.52,,,,,,,1775145600000
2026-04-07,151.03,151.49,150.4,150.6,993668,149922509.0,-0.28,-0.43,0.16,,,37.5505,6.278,9.2904,181.1578,90859571826.0,1719294780.4,,,,,,,1775491200000
2026-04-08,151.55,152.85,151.14,152.81,1603002,244010578.0,1.47,2.21,0.27,,,38.1015,6.37,9.4268,183.8162,92192902860.1,1720352343.04,10502513.0,1.74,0.0,,,,1775577600000
2026-04-09,152.72,152.72,150.63,150.89,1365100,206372356.0,-1.26,-1.92,0.23,,,37.6228,6.29,9.3083,181.5066,91034533816.9,1722199235.76,10300808.0,1.7,-201705.0,,,,1775664000000
2026-04-10,150.95,151.79,150.1,150.7,2041152,307786182.0,-0.13,-0.19,0.34,,,37.5754,6.282,9.2966,181.278,90919903547.0,1726085114.8,10300808.0,1.7,0.0,,,,1775750400000
2026-04-13,150.0,150.02,148.6,148.77,1974881,294173841.0,-1.28,-1.93,0.33,,,37.0942,6.202,9.1775,178.9564,89755501331.7,1730078167.68,10300808.0,1.7,0.0,,,,1776009600000
2026-04-14,148.76,149.26,147.52,148.56,1954869,289564155.0,-0.14,-0.21,0.32,,,37.0418,6.193,9.1646,178.7038,89628804717.6,1730747429.04,10300808.0,1.7,0.0,,,,1776096000000
2026-04-15,148.86,149.48,148.6,148.98,1732910,258202870.0,0.28,0.42,0.29,,,37.1465,6.211,9.1905,179.209,89882197945.8,1735246217.32,10300808.0,1.7,0.0,,,,1776182400000
2026-04-16,148.98,149.18,147.78,148.07,1579636,233933660.0,-0.61,-0.91,0.26,,,36.9196,6.173,9.1344,178.1144,89333179284.7,1729680729.88,10300808.0,1.7,0.0,,,,1776268800000
2026-04-17,147.47,147.5,146.23,146.31,2259268,330901874.0,-1.19,-1.76,0.37,,,36.4808,6.099,9.0258,175.9973,88271340995.1,1720059409.04,10300808.0,1.7,0.0,,,,1776355200000
2026-04-20,146.3,146.3,144.55,145.08,2642970,383525369.0,-0.84,-1.23,0.44,,,36.1741,6.048,8.9499,174.5177,87529260826.8,1732372679.72,10300808.0,1.7,0.0,,,,1776614400000
2026-04-21,144.99,145.58,144.0,144.11,2314464,334405248.0,-0.67,-0.97,0.38,,,35.9323,6.008,8.8901,173.3509,86944043133.1,1733709809.24,10300808.0,1.7,0.0,,,,1776700800000
2026-04-22,143.99,143.99,141.43,141.92,4066050,578467524.0,-1.52,-2.19,0.67,,,35.3862,5.916,8.755,170.7165,85622778443.2,1763678446.28,10300808.0,1.7,0.0,,,,1776787200000
2026-04-23,141.95,143.21,141.0,142.43,3113744,443103381.0,0.36,0.51,0.52,,,35.5134,5.938,8.7864,171.33,85930470220.3,1781694730.12,10300808.0,1.7,0.0,,,,1776873600000
2026-04-24,142.0,142.88,140.75,141.86,2459390,348664019.0,-0.4,-0.57,0.41,,,35.3712,5.914,8.7513,170.6443,85586579410.6,,,,,,,,1776960000000
