交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2018-09-19,5.65,5.76,5.62,5.71,3235637,18423556.0,1.06,0.06,1.06,,,,,,,,,,,,,,,1537286400000
2018-09-20,5.71,5.86,5.68,5.72,3554100,20457316.0,0.18,0.01,1.15,,,,,,,,,,,,,,,1537372800000
2018-09-21,5.72,5.83,5.64,5.83,3616732,20834658.0,1.92,0.11,1.14,,,,,,,,,,,,,,,1537459200000
2018-09-25,5.8,5.94,5.75,5.79,2801009,16308093.0,-0.69,-0.04,0.91,,,,,,,,,,,,,,,1537804800000
2018-09-26,5.84,5.84,5.7,5.78,2667002,15402124.0,-0.17,-0.01,0.87,,,,,,,,,,,,,,,1537891200000
2018-09-27,5.76,6.36,5.74,6.36,15184382,93663385.0,10.03,0.58,4.75,,,,,,,,,,,,,,,1537977600000
2018-09-28,6.65,6.86,6.3,6.43,25054072,165412411.0,1.1,0.07,8.21,,,,,,,,,,,,,,,1538064000000
2018-10-08,6.11,6.2,5.99,6.04,11596817,70469369.0,-6.07,-0.39,3.77,,,,,,,,,,,,,,,1538928000000
2018-10-09,6.08,6.12,5.93,6.02,7648000,45908784.0,-0.33,-0.02,2.39,,,,,,,,,,,,,,,1539014400000
2018-10-10,6.02,6.06,5.93,6.05,5964610,35726738.0,0.5,0.03,1.84,,,,,,,,,,,,,,,1539100800000
2018-10-11,5.8,5.95,5.45,5.45,6889521,38533709.0,-9.92,-0.6,2.28,,,-3.8706,1.218,4.7795,-30.2425,2182105847.3,,,,,,,,1539187200000
2018-10-12,5.25,5.35,4.91,5.14,8018251,40813316.0,-5.69,-0.31,2.62,,,-3.6505,1.1487,4.5077,-28.5223,2057986065.16,,,,,,,,1539273600000
2018-10-15,5.15,5.18,4.9,4.95,3933884,19917987.0,-3.7,-0.19,1.25,,,-3.5155,1.1062,4.3411,-27.4679,1981912650.3,,,,,,,,1539532800000
2018-10-16,4.95,5.01,4.47,4.64,4495200,21471821.0,-6.26,-0.31,1.46,,,-3.2954,1.037,4.0692,-25.7477,1857792868.16,,,,,,,,1539619200000
2018-10-17,4.7,4.77,4.45,4.66,3887875,17924223.0,0.43,0.02,1.27,,,-3.3096,1.0414,4.0867,-25.8587,1865800596.04,,,,,,,,1539705600000
2018-10-18,4.65,4.65,4.45,4.49,2989700,13556355.0,-3.65,-0.17,0.96,,,-3.1888,1.0034,3.9376,-24.9154,1797734909.06,,,,,,,,1539792000000
2018-10-19,4.44,4.6,4.3,4.58,2791951,12490861.0,2.0,0.09,0.89,,,-3.2528,1.0235,4.0166,-25.4148,1833769684.52,,,,,,,,1539878400000
2018-10-22,4.64,4.92,4.6,4.87,5019126,24115308.0,6.33,0.29,1.63,,,-3.4587,1.0884,4.2709,-27.024,1949881738.78,,,,,,,,1540137600000
2018-10-23,4.89,4.92,4.7,4.74,3260651,15633324.0,-2.67,-0.13,1.06,,,-3.3664,1.0593,4.1569,-26.3026,1897831507.56,,,,,,,,1540224000000
2018-10-24,4.76,4.9,4.7,4.9,3456692,16642209.0,3.38,0.16,1.02,,,-3.48,1.0951,4.2972,-27.1905,1961893330.6,,,,,,,,1540310400000
2018-10-25,4.75,4.9,4.64,4.87,3687183,17594128.0,-0.61,-0.03,1.19,,,-3.4587,1.0884,4.2709,-27.024,1949881738.78,,,,,,,,1540396800000
2018-10-26,4.85,5.09,4.85,4.91,3913107,19358454.0,0.82,0.04,1.27,,,-3.4871,1.0973,4.306,-27.246,1965897194.54,,,,,,,,1540483200000
2018-10-29,4.89,4.9,4.79,4.82,2098101,10122605.0,-1.83,-0.09,0.68,,,-3.4232,1.0772,4.227,-26.7466,1929862419.08,,,,,,,,1540742400000
2018-10-30,4.77,4.93,4.71,4.87,2378500,11518515.0,1.04,0.05,0.77,,,-3.4587,1.0884,4.2709,-27.024,1949881738.78,,,,,,,,1540828800000
2018-10-31,4.87,5.02,4.87,4.97,3399800,16861896.0,2.05,0.1,1.1,,,-3.5297,1.1107,4.3586,-27.5789,1989920378.18,,,,,,,,1540915200000
2018-11-01,5.08,5.09,4.98,4.99,3953610,19881043.0,0.4,0.02,1.28,,,-3.5439,1.1152,4.3761,-27.6899,1997928106.06,,,,,,,,1541001600000
2018-11-02,5.05,5.31,5.0,5.15,5711023,29278717.0,3.21,0.16,1.85,,,-3.6576,1.1509,4.5164,-28.5777,2061989929.1,,,,,,,,1541088000000
2018-11-05,5.14,5.22,5.05,5.15,4349437,22295367.0,0.0,0.0,1.39,,,-3.6576,1.1509,4.5164,-28.5777,2061989929.1,,,,,,,,1541347200000
