交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,8.53,8.57,8.44,8.46,48137803,409411446.0,-1.17,-0.1,0.14,,,8.0207,1.191,0.5592,3.1522,374134960332.18,1537933323.0,252741843.0,0.71,0.0,,,,1773331200000
2026-03-16,8.45,8.49,8.36,8.45,49311718,415785548.0,-0.12,-0.01,0.14,,,8.0112,1.19,0.5585,3.1485,373692720426.35,1515371378.55,252741843.0,0.71,0.0,,,,1773590400000
2026-03-17,8.44,8.7,8.44,8.57,72857297,627020706.0,1.42,0.12,0.21,,,8.125,1.207,0.5665,3.1932,378999599296.31,1511203824.0,252741843.0,0.71,0.0,,,,1773676800000
2026-03-18,8.59,8.62,8.5,8.57,47923319,409697240.0,0.0,0.0,0.14,,,8.125,1.207,0.5665,3.1932,378999599296.31,1508988871.0,252741843.0,0.71,0.0,,,,1773763200000
2026-03-19,8.51,8.56,8.38,8.39,52504174,443738710.0,-2.1,-0.18,0.15,,,7.9544,1.181,0.5546,3.1261,371039280991.37,1522083055.0,252741843.0,0.71,0.0,,,,1773849600000
2026-03-20,8.38,8.42,8.25,8.25,61365883,510383589.0,-1.67,-0.14,0.17,,,7.8216,1.162,0.5453,3.074,364847922309.75,1529968588.0,252741843.0,0.71,0.0,,,,1773936000000
2026-03-23,8.12,8.14,7.82,7.88,86645385,688431162.0,-4.48,-0.37,0.24,,,7.4708,1.11,0.5209,2.9361,348485045794.04,1489748146.0,252741843.0,0.71,0.0,,,,1774195200000
2026-03-24,7.98,8.03,7.85,7.94,68226681,541372432.0,0.76,0.06,0.19,,,7.5277,1.118,0.5248,2.9585,351138485229.02,1461842064.0,252741843.0,0.71,0.0,,,,1774281600000
2026-03-25,7.94,8.08,7.94,8.05,46671634,373942176.0,1.39,0.11,0.13,,,7.632,1.134,0.5321,2.9995,356003124193.15,1457507710.0,252741843.0,0.71,0.0,,,,1774368000000
2026-03-26,8.03,8.06,7.71,7.76,85238282,668176850.0,-3.6,-0.29,0.24,,,7.3571,1.093,0.5129,2.8914,343178166924.08,1474246302.0,252741843.0,0.71,0.0,,,,1774454400000
2026-03-27,7.65,7.65,7.28,7.47,169187102,1251018130.0,-3.74,-0.29,0.48,,,7.0821,1.069,0.4938,2.7834,330353209655.01,1505160803.0,252741843.0,0.71,0.0,,,,1774540800000
2026-03-30,7.32,7.39,7.3,7.35,86270711,632764904.0,-1.61,-0.12,0.24,,,6.9684,1.052,0.4858,2.7386,325046330785.05,1531736328.0,252741843.0,0.71,0.0,,,,1774800000000
2026-03-31,7.34,7.47,7.27,7.27,80460702,593311018.0,-1.09,-0.08,0.23,,,6.8925,1.041,0.4805,2.7088,321508411538.41,1540588277.0,252741843.0,0.71,0.0,,,,1774886400000
2026-04-01,7.36,7.51,7.35,7.49,97543672,726713711.0,3.03,0.22,0.27,,,7.1011,1.072,0.4951,2.7908,331237689466.67,1517983331.0,252741843.0,0.71,0.0,,,,1774972800000
2026-04-02,7.45,7.46,7.38,7.43,51580200,382577307.0,-0.8,-0.06,0.15,,,7.0442,1.063,0.4911,2.7684,328584250031.69,1522087760.13,252741843.0,0.71,0.0,,,,1775059200000
2026-04-03,7.43,7.46,7.33,7.35,38122405,281797193.0,-1.08,-0.08,0.11,,,6.9684,1.052,0.4858,2.7386,325046330785.05,1518644052.85,,,,,,,1775145600000
2026-04-07,7.35,7.36,7.21,7.24,51523036,374561960.0,-1.5,-0.11,0.15,,,6.8641,1.036,0.4786,2.6977,320181691820.92,1513036959.0,,,,,,,1775491200000
2026-04-08,7.35,7.58,7.35,7.57,98828431,740349572.0,4.56,0.33,0.28,,,7.1769,1.083,0.5004,2.8206,334775608713.31,1516779943.0,252741843.0,0.71,0.0,,,,1775577600000
2026-04-09,7.5,7.52,7.37,7.4,53013635,393581830.0,-2.25,-0.17,0.15,,,7.0158,1.059,0.4891,2.7573,327257530314.2,1523532408.0,184465104.0,0.51,-68276739.0,,,,1775664000000
2026-04-10,7.42,7.6,7.42,7.46,63719371,478347341.0,0.81,0.06,0.18,,,7.0727,1.068,0.4931,2.7796,329910969749.18,1515732068.0,184465104.0,0.51,0.0,,,,1775750400000
2026-04-13,7.4,7.42,7.35,7.41,38595064,285421036.0,-0.67,-0.05,0.11,,,7.0252,1.061,0.4898,2.761,327699770220.03,1520742424.0,184465104.0,0.51,0.0,,,,1776009600000
2026-04-14,7.47,7.5,7.41,7.49,43177140,321800753.0,1.08,0.08,0.12,,,7.1011,1.072,0.4951,2.7908,331237689466.67,1515547766.0,184465104.0,0.51,0.0,,,,1776096000000
2026-04-15,7.52,7.56,7.46,7.48,44733915,335739525.0,-0.13,-0.01,0.13,,,7.0916,1.071,0.4944,2.7871,330795449560.84,1523922521.0,184465104.0,0.51,0.0,,,,1776182400000
2026-04-16,7.47,7.52,7.44,7.49,52434701,391814779.0,0.13,0.01,0.15,,,7.1011,1.072,0.4951,2.7908,331237689466.67,1570464335.0,184465104.0,0.51,0.0,,,,1776268800000
2026-04-17,7.48,7.48,7.36,7.38,53332369,394053614.0,-1.47,-0.11,0.15,,,6.9968,1.056,0.4878,2.7498,326373050502.54,1564311219.0,184465104.0,0.51,0.0,,,,1776355200000
2026-04-20,7.37,7.39,7.3,7.35,51447650,376905701.0,-0.41,-0.03,0.14,,,6.9684,1.052,0.4858,2.7386,325046330785.05,1568999087.0,184465104.0,0.51,0.0,,,,1776614400000
2026-04-21,7.33,7.4,7.3,7.33,50268857,368563797.0,-0.27,-0.02,0.14,,,6.9494,1.049,0.4845,2.7312,324161850973.39,1532243198.0,184465104.0,0.51,0.0,,,,1776700800000
2026-04-22,7.3,7.37,7.27,7.32,45968137,336508500.0,-0.14,-0.01,0.13,,,6.9399,1.048,0.4839,2.7275,323719611067.56,1527632759.0,184465104.0,0.51,0.0,,,,1776787200000
2026-04-23,7.33,7.36,7.26,7.27,47453208,346432757.0,-0.68,-0.05,0.13,,,6.8925,1.041,0.4805,2.7088,321508411538.41,1524198530.0,184465104.0,0.51,0.0,,,,1776873600000
2026-04-24,7.25,7.26,7.14,7.23,44221015,318445650.0,-0.55,-0.04,0.12,,,6.8546,1.035,0.4779,2.6939,319739451915.09,,,,,,,,1776960000000
