交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,6.49,6.51,6.31,6.33,475963392,3036060428.0,-2.01,-0.13,0.5,,,24.0642,0.921,0.275,4.7106,765458505025.26,2170594490.0,569079343.0,0.6,0.0,,,,1773331200000
2026-03-16,6.35,6.41,6.31,6.33,286421510,1818960233.0,0.0,0.0,0.3,,,24.0642,0.921,0.275,4.7106,765458505025.26,2125569801.0,569079343.0,0.6,0.0,,,,1773590400000
2026-03-17,6.3,6.3,6.21,6.25,316249240,1977977920.0,-1.26,-0.08,0.33,,,23.7601,0.91,0.2715,4.6511,755784463887.5,2149962181.0,569079343.0,0.6,0.0,,,,1773676800000
2026-03-18,6.22,6.22,6.05,6.12,313834473,1918878973.0,-2.08,-0.13,0.33,,,23.2659,0.891,0.2659,4.5544,740064147038.64,2083008424.0,569079343.0,0.6,0.0,,,,1773763200000
2026-03-19,6.21,6.29,6.18,6.28,411549740,2563675485.0,2.61,0.16,0.43,,,23.8741,0.914,0.2728,4.6734,759412229314.16,2056637089.0,569079343.0,0.6,0.0,,,,1773849600000
2026-03-20,6.18,6.18,6.05,6.08,289769841,1765627259.0,-3.18,-0.2,0.31,,,23.1138,0.885,0.2641,4.5246,735227126469.76,2087647147.0,569079343.0,0.6,0.0,,,,1773936000000
2026-03-23,6.08,6.11,5.93,6.04,337341359,2025777771.0,-0.66,-0.04,0.36,,,22.9617,0.88,0.2624,4.4948,730390105900.88,1965832144.0,569079343.0,0.6,0.0,,,,1774195200000
2026-03-24,5.94,5.95,5.86,5.94,256982236,1516106490.0,-1.66,-0.1,0.27,,,22.5816,0.865,0.258,4.4204,718297554478.68,1986172882.0,569079343.0,0.6,0.0,,,,1774281600000
2026-03-25,5.87,5.92,5.79,5.92,253393162,1483925740.0,-0.34,-0.02,0.27,,,22.5056,0.862,0.2572,4.4055,715879044194.24,1983134715.0,569079343.0,0.6,0.0,,,,1774368000000
2026-03-26,5.89,5.94,5.85,5.88,220019751,1296597916.0,-0.68,-0.04,0.23,,,22.3535,0.856,0.2554,4.3758,711042023625.36,1967607867.0,569079343.0,0.6,0.0,,,,1774454400000
2026-03-27,5.87,5.91,5.84,5.9,192807151,1132811450.0,0.34,0.02,0.2,,,22.4295,0.859,0.2563,4.3906,713460533909.8,1967723261.0,569079343.0,0.6,0.0,,,,1774540800000
2026-03-30,5.93,5.99,5.91,5.97,207317133,1234422277.0,1.19,0.07,0.22,,,22.6956,0.87,0.2594,4.4427,721925319905.34,1968830541.0,569079343.0,0.6,0.0,,,,1774800000000
2026-03-31,5.96,6.01,5.88,5.88,173574560,1029783430.0,-1.51,-0.09,0.18,,,22.3535,0.856,0.2554,4.3758,711042023625.36,1957947300.0,569079343.0,0.6,0.0,,,,1774886400000
2026-04-01,5.88,5.93,5.85,5.89,168739314,994545200.0,0.17,0.01,0.18,,,22.3915,0.858,0.2559,4.3832,712251278767.58,1942134415.0,569079343.0,0.6,0.0,,,,1774972800000
2026-04-02,5.88,5.96,5.87,5.95,205126115,1215345102.0,1.02,0.06,0.22,,,22.6196,0.867,0.2585,4.4278,719506809620.9,1942631817.0,569079343.0,0.6,0.0,,,,1775059200000
2026-04-03,5.95,5.95,5.83,5.86,158440474,929770687.0,-1.51,-0.09,0.17,,,22.2775,0.853,0.2546,4.3609,708623513340.92,1915180567.0,,,,,,,1775145600000
2026-04-07,5.85,5.92,5.79,5.91,158303366,929845253.0,0.85,0.05,0.17,,,22.4675,0.861,0.2567,4.3981,714669789052.02,1895554611.0,,,,,,,1775491200000
2026-04-08,5.8,5.9,5.76,5.89,226362872,1323510332.0,-0.34,-0.02,0.24,,,22.3915,0.858,0.2559,4.3832,712251278767.58,1901106196.0,569079343.0,0.6,0.0,,,,1775577600000
2026-04-09,5.89,5.94,5.82,5.84,167923809,983839208.0,-0.85,-0.05,0.18,,,22.2014,0.851,0.2537,4.346,706205003056.48,1935257689.0,561765398.0,0.59,-7313945.0,,,,1775664000000
2026-04-10,5.83,5.84,5.81,5.81,129726922,755147039.0,-0.51,-0.03,0.14,,,22.0874,0.846,0.2524,4.3237,702577237629.82,1933955782.0,561765398.0,0.59,0.0,,,,1775750400000
2026-04-13,5.85,5.86,5.77,5.83,174104992,1011368271.0,0.34,0.02,0.18,,,22.1634,0.849,0.2533,4.3385,704995747914.26,1939905639.0,561765398.0,0.59,0.0,,,,1776009600000
