交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,36.5,37.15,35.6,35.64,48502793,1753627074.0,-2.52,-0.92,1.15,,,341.2165,9.488,56.9261,110.1538,150557096083.68,1950657051.0,11181362.0,0.26,0.0,,,,1773331200000
2026-03-16,35.4,35.46,33.65,34.22,59452515,2036276128.0,-3.98,-1.42,1.41,,,327.6214,9.11,54.658,105.7649,144558468798.64,1931438366.0,11181362.0,0.26,0.0,,,,1773590400000
2026-03-17,34.8,34.91,32.96,32.97,44400012,1498536401.0,-3.65,-1.25,1.05,,,315.654,8.777,52.6614,101.9015,139277987033.64,1892116441.0,11181362.0,0.26,0.0,,,,1773676800000
2026-03-18,33.03,34.19,32.86,34.16,52743366,1773777123.0,3.61,1.19,1.25,,,327.047,9.094,54.5622,105.5795,144305005673.92,1909609825.0,11181362.0,0.26,0.0,,,,1773763200000
2026-03-19,33.52,34.5,33.27,33.99,39629124,1343452381.0,-0.5,-0.17,0.94,,,325.4194,9.048,54.2906,105.054,143586860153.88,1884085562.0,11181362.0,0.26,0.0,,,,1773849600000
2026-03-20,34.2,34.27,32.85,32.92,37255793,1242435647.0,-3.15,-1.07,0.88,,,315.1753,8.764,52.5816,101.747,139066767763.04,1840803106.0,11181362.0,0.26,0.0,,,,1773936000000
2026-03-23,32.0,32.62,31.1,31.29,53106597,1692069290.0,-4.95,-1.63,1.26,,,299.5697,8.33,49.978,96.7091,132181019541.48,1814268701.0,11181362.0,0.26,0.0,,,,1774195200000
2026-03-24,31.86,32.04,30.73,31.56,37883393,1188456634.0,0.86,0.27,0.9,,,302.1547,8.402,50.4093,97.5436,133321603602.72,1784618211.0,11181362.0,0.26,0.0,,,,1774281600000
2026-03-25,31.95,32.39,31.83,31.96,32096149,1030318275.0,1.27,0.4,0.76,,,305.9842,8.508,51.0482,98.7799,135011357767.52,1779476832.0,11181362.0,0.26,0.0,,,,1774368000000
2026-03-26,32.49,32.59,31.7,32.07,42514742,1365703258.0,0.34,0.11,1.01,,,307.0374,8.537,51.2239,99.1198,135476040162.84,1780418929.0,11181362.0,0.26,0.0,,,,1774454400000
2026-03-27,31.32,32.05,31.13,31.8,30766701,970790113.0,-0.84,-0.27,0.73,,,304.4524,8.465,50.7926,98.2853,134335456101.6,1761499484.0,11181362.0,0.26,0.0,,,,1774540800000
2026-03-30,31.39,32.83,31.36,32.78,47875635,1550905280.0,3.08,0.98,1.13,,,313.8349,8.726,52.358,101.3143,138475353805.36,1776976811.0,11181362.0,0.26,0.0,,,,1774800000000
2026-03-31,32.82,34.26,32.6,33.0,66974370,2248308808.0,0.67,0.22,1.59,,,315.9412,8.785,52.7093,101.9942,139404718596.0,1802802180.0,11181362.0,0.26,0.0,,,,1774886400000
2026-04-01,33.58,33.72,32.28,32.63,46829986,1535640256.0,-1.12,-0.37,1.11,,,312.3988,8.622,52.1184,100.8506,137841695993.56,1827931902.0,11181362.0,0.26,0.0,,,,1774972800000
2026-04-02,32.53,32.89,31.72,31.94,30441833,979289767.0,-2.11,-0.69,0.72,,,305.7928,8.439,51.0163,98.718,134926870059.28,1802457082.0,11181362.0,0.26,0.0,,,,1775059200000
2026-04-03,32.39,32.6,31.51,31.56,29161338,932066629.0,-1.19,-0.38,0.69,,,302.1547,8.339,50.4093,97.5436,133321603602.72,1791915406.0,,,,,,,1775145600000
2026-04-07,31.54,31.8,30.99,31.1,25693971,802994541.0,-1.46,-0.46,0.61,,,297.7506,8.217,49.6746,96.1218,131378386313.2,1787548858.0,,,,,,,1775491200000
2026-04-08,31.64,32.99,31.64,32.99,48883477,1583778268.0,6.08,1.89,1.16,,,315.8454,8.717,52.6934,101.9633,139362474741.88,1824963765.0,11181362.0,0.26,0.0,,,,1775577600000
2026-04-09,32.5,32.93,32.02,32.55,33327190,1082342159.0,-1.33,-0.44,0.79,,,311.6329,8.601,51.9906,100.6034,137503745160.6,1809929772.0,4832846.0,0.11,-6348516.0,,,,1775664000000
