交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,11.41,11.64,11.29,11.31,98287064,1128449324.0,-1.39,-0.16,1.09,,,20.13,2.22,1.3316,13.8727,132876844155.12,846705124.0,510326260.0,4.34,0.0,,,,1773331200000
2026-03-16,11.31,11.35,10.93,10.98,105803747,1165945658.0,-2.92,-0.33,1.17,,,19.5427,2.155,1.2927,13.468,128999800956.96,870692700.0,510326260.0,4.34,0.0,,,,1773590400000
2026-03-17,11.05,11.17,10.79,10.8,76811440,842633106.0,-1.64,-0.18,0.85,,,19.2223,2.119,1.2715,13.2472,126885050121.6,880209131.0,510326260.0,4.34,0.0,,,,1773676800000
2026-03-18,10.84,10.86,10.4,10.75,118008378,1251351049.0,-0.46,-0.05,1.31,,,19.1333,2.11,1.2657,13.1858,126297619334.0,894082538.0,510326260.0,4.34,0.0,,,,1773763200000
2026-03-19,10.58,10.59,10.2,10.25,107086571,1107375794.0,-4.65,-0.5,1.19,,,18.2434,2.012,1.2068,12.5725,120423311458.0,948085711.0,510326260.0,4.34,0.0,,,,1773849600000
2026-03-20,10.38,10.64,10.33,10.41,110126532,1156376207.0,1.56,0.16,1.22,,,18.5281,2.043,1.2256,12.7688,122303089978.32,878167511.0,510326260.0,4.34,0.0,,,,1773936000000
2026-03-23,10.2,10.34,9.99,10.06,114206601,1154153102.0,-3.36,-0.35,1.27,,,17.9052,1.974,1.1844,12.3395,118191074465.12,899258050.0,510326260.0,4.34,0.0,,,,1774195200000
2026-03-24,10.21,10.4,10.19,10.33,83804765,861313747.0,2.68,0.27,0.93,,,18.3858,2.027,1.2162,12.6707,121363200718.16,906201925.0,510326260.0,4.34,0.0,,,,1774281600000
2026-03-25,10.61,10.71,10.47,10.56,84090939,891355282.0,2.23,0.23,0.93,,,18.7951,2.072,1.2433,12.9528,124065382341.12,902165664.0,510326260.0,4.34,0.0,,,,1774368000000
2026-03-26,10.59,10.59,10.22,10.28,56311258,584715042.0,-2.65,-0.28,0.63,,,18.2968,2.017,1.2103,12.6093,120775769930.56,894254232.0,510326260.0,4.34,0.0,,,,1774454400000
2026-03-27,10.18,10.43,10.08,10.32,66219370,681874962.0,0.39,0.04,0.74,,,18.368,2.025,1.215,12.6584,121245714560.64,969363571.0,510326260.0,4.34,0.0,,,,1774540800000
2026-03-30,10.15,10.15,9.78,9.93,140963388,1401277045.0,-3.78,-0.39,1.56,,,17.6738,1.949,1.1691,12.18,116663754417.36,1032326445.0,510326260.0,4.34,0.0,,,,1774800000000
2026-03-31,9.96,10.28,9.94,10.08,97299104,988064346.0,1.51,0.15,1.08,,,17.9408,1.978,1.1868,12.364,118426046780.16,935975254.0,510326260.0,4.34,0.0,,,,1774886400000
2026-04-01,10.31,10.55,10.25,10.52,104415663,1089181979.0,4.37,0.44,1.16,,,18.7239,2.065,1.2386,12.9037,123595437711.04,909682147.0,510326260.0,4.34,0.0,,,,1774972800000
2026-04-02,10.48,10.48,10.15,10.3,82734518,848521371.0,-2.09,-0.22,0.92,,,18.3324,2.021,1.2127,12.6339,121010742245.6,918560028.0,510326260.0,4.34,0.0,,,,1775059200000
2026-04-03,10.3,10.38,10.16,10.2,32254451,329725785.0,-0.97,-0.1,0.36,,,18.1544,2.002,1.2009,12.5112,119835880670.4,904616589.0,,,,,,,1775145600000
2026-04-07,10.22,10.25,9.88,9.99,72276273,723845572.0,-2.06,-0.21,0.8,,,17.7806,1.96,1.1762,12.2536,117368671362.48,924115813.0,,,,,,,1775491200000
2026-04-08,10.33,10.93,10.33,10.86,158598104,1694626858.0,8.71,0.87,1.76,,,19.3291,2.131,1.2786,13.3208,127589967066.72,914044345.0,510326260.0,4.34,0.0,,,,1775577600000
2026-04-09,10.81,10.81,10.56,10.6,69902307,744061961.0,-2.39,-0.26,0.78,,,18.8663,2.08,1.248,13.0019,124535326971.2,916992674.0,695107506.0,5.91,184781246.0,,,,1775664000000
2026-04-10,10.71,10.79,10.58,10.61,79111848,845029899.0,0.09,0.01,0.88,,,18.8841,2.082,1.2492,13.0141,124652813128.72,912917850.0,695107506.0,5.91,0.0,,,,1775750400000
2026-04-13,10.47,10.59,10.32,10.38,102277458,1065454846.0,-2.17,-0.23,1.14,,,18.4747,2.037,1.2221,12.732,121950631505.76,914832614.0,695107506.0,5.91,0.0,,,,1776009600000
2026-04-14,10.52,10.57,10.3,10.41,79500223,826365036.0,0.29,0.03,0.88,,,18.5281,2.043,1.2256,12.7688,122303089978.32,918631021.0,695107506.0,5.91,0.0,,,,1776096000000
2026-04-15,10.57,10.72,10.48,10.53,87867927,931258048.0,1.15,0.12,0.98,,,18.7417,2.066,1.2398,12.916,123712923868.56,917835678.0,695107506.0,5.91,0.0,,,,1776182400000
2026-04-16,10.5,10.65,10.06,10.2,170427016,1737285320.0,-3.13,-0.33,1.89,,,18.1544,2.002,1.2009,12.5112,119835880670.4,1024351499.0,695107506.0,5.91,0.0,,,,1776268800000
2026-04-17,10.17,10.17,9.89,9.95,143498219,1430717775.0,-2.45,-0.25,1.59,,,17.7094,1.953,1.1715,12.2046,116898726732.4,1065168906.0,695107506.0,5.91,0.0,,,,1776355200000
2026-04-20,9.89,9.96,9.45,9.93,248584558,2411547833.0,-0.2,-0.02,2.76,,,17.6738,1.949,1.1691,12.18,116663754417.36,1077445255.0,695107506.0,5.91,0.0,,,,1776614400000
2026-04-21,9.97,10.14,9.88,10.1,104509173,1047439401.0,1.71,0.17,1.16,,,17.9764,1.982,1.1891,12.3886,118661019095.2,1059469748.0,695107506.0,5.91,0.0,,,,1776700800000
2026-04-22,10.05,10.06,9.87,9.97,105158830,1046742682.0,-1.29,-0.13,1.17,,,17.745,1.957,1.1738,12.2291,117133699047.44,1014017092.0,695107506.0,5.91,0.0,,,,1776787200000
2026-04-23,10.0,10.06,9.75,9.8,101679170,1000556178.0,-1.71,-0.17,1.13,,,17.4424,1.923,1.1538,12.0206,115136434369.6,1025950506.0,695107506.0,5.91,0.0,,,,1776873600000
2026-04-24,9.73,9.84,9.68,9.76,60544955,589923903.0,-0.41,-0.04,0.67,,,17.3712,1.915,1.1491,11.9715,114666489739.52,,,,,,,,1776960000000
