交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,46.56,47.75,46.28,46.51,44447942,2082039158.0,-0.83,-0.39,1.23,,,45.2395,7.049,2.0559,9.9758,214407822207.75,2792306922.28,99446707.0,2.75,0.0,,,,1773331200000
2026-03-16,45.5,45.7,43.03,44.09,70271784,3098569120.0,-5.2,-2.42,1.94,,,42.8856,6.682,1.949,9.4568,203251792757.25,2825832865.52,99446707.0,2.75,0.0,,,,1773590400000
2026-03-17,44.09,45.67,43.99,44.5,48154006,2154628181.0,0.93,0.41,1.33,,,43.2844,6.744,1.9671,9.5447,205141863862.5,2785049667.0,99446707.0,2.75,0.0,,,,1773676800000
2026-03-18,44.33,44.48,43.11,43.73,37606581,1641049837.0,-1.73,-0.77,1.04,,,42.5354,6.627,1.933,9.3795,201592218128.25,2762938208.44,99446707.0,2.75,0.0,,,,1773763200000
2026-03-19,41.59,42.44,40.57,40.65,69059136,2859521916.0,-7.04,-3.08,1.91,,,39.5396,6.161,1.7969,8.7189,187393635191.25,2623537791.2,99446707.0,2.75,0.0,,,,1773849600000
2026-03-20,40.64,41.14,39.47,39.69,63080416,2540217540.0,-2.36,-0.96,1.75,,,38.6058,6.015,1.7545,8.513,182968102847.25,2584306466.32,99446707.0,2.75,0.0,,,,1773936000000
2026-03-23,37.83,38.35,36.6,37.04,84115608,3147871877.0,-6.68,-2.65,2.33,,,36.0282,5.613,1.6373,7.9446,170751789606.0,2449422263.12,99446707.0,2.75,0.0,,,,1774195200000
2026-03-24,37.51,38.74,36.7,38.67,61458870,2315657603.0,4.4,1.63,1.7,,,37.6137,5.86,1.7094,8.2942,178265974731.75,2468607373.76,99446707.0,2.75,0.0,,,,1774281600000
2026-03-25,40.11,40.91,39.29,39.56,68275552,2730028653.0,2.3,0.89,1.89,,,38.4794,5.995,1.7487,8.4851,182368812009.0,2535680705.68,99446707.0,2.75,0.0,,,,1774368000000
2026-03-26,39.48,39.65,37.6,38.03,50156288,1929375508.0,-3.87,-1.53,1.39,,,36.9912,5.763,1.6811,8.157,175315619835.75,2543203779.84,99446707.0,2.75,0.0,,,,1774454400000
2026-03-27,37.05,38.94,37.02,38.58,65728953,2502503811.0,1.45,0.55,1.82,,,37.5261,5.745,1.7054,8.2749,177851081074.5,2555441397.24,99446707.0,2.75,0.0,,,,1774540800000
2026-03-30,38.12,40.73,38.1,40.69,73602644,2930426716.0,5.47,2.11,2.04,,,39.5785,6.06,1.7987,8.7275,187578032372.25,2548595911.32,99446707.0,2.75,0.0,,,,1774800000000
2026-03-31,40.88,41.5,40.14,40.25,58121370,2368819541.0,-1.08,-0.44,1.61,,,39.1505,5.994,1.7792,8.6331,185549663381.25,2507392600.0,99446707.0,2.75,0.0,,,,1774886400000
2026-04-01,41.55,41.83,40.58,41.13,49314632,2030216363.0,2.19,0.88,1.36,,,40.0065,6.125,1.8181,8.8219,189606401363.25,2530714831.64,99446707.0,2.75,0.0,,,,1774972800000
2026-04-02,40.7,40.86,39.06,40.03,44985441,1801009501.0,-2.67,-1.1,1.24,,,38.9365,5.961,1.7695,8.5859,184535478885.75,2500812151.84,99446707.0,2.75,0.0,,,,1775059200000
2026-04-03,40.02,40.5,39.7,40.19,27382716,1100213764.0,0.4,0.16,0.76,,,39.0922,5.985,1.7766,8.6203,185273067609.75,2469986443.32,,,,,,,1775145600000
2026-04-07,39.87,40.1,39.0,39.7,27202998,1081424825.0,-1.22,-0.49,0.75,,,38.6155,5.912,1.7549,8.5152,183014202142.5,2484609301.6,,,,,,,1775491200000
2026-04-08,41.68,42.98,41.49,42.49,66363712,2805728837.0,7.03,2.79,1.84,,,41.3293,6.328,1.8782,9.1136,195875905517.25,2468878511.72,99446707.0,2.75,0.0,,,,1775577600000
2026-04-09,41.41,41.54,40.95,41.27,42755062,1763021855.0,-2.87,-1.22,1.18,,,40.1426,6.146,1.8243,8.8519,190251791496.75,2530701824.56,69157822.0,1.91,-30288885.0,,,,1775664000000
2026-04-10,41.48,41.6,40.12,40.2,49376455,2003618050.0,-2.59,-1.07,1.37,,,39.1019,5.987,1.777,8.6224,185319166905.0,2587301340.6,69157822.0,1.91,0.0,,,,1775750400000
2026-04-13,39.97,39.97,39.1,39.5,38496222,1521775978.0,-1.74,-0.7,1.07,,,38.421,5.882,1.7461,8.4723,182092216237.5,2619302375.5,69157822.0,1.91,0.0,,,,1776009600000
2026-04-14,40.0,40.18,38.95,39.4,35267811,1390340315.0,-0.25,-0.1,0.98,,,38.3237,5.867,1.7416,8.4508,181631223285.0,2613265673.8,69157822.0,1.91,0.0,,,,1776096000000
2026-04-15,40.0,40.28,38.55,38.78,48346933,1900507747.0,-1.57,-0.62,1.34,,,37.7207,5.775,1.7142,8.3178,178773066979.5,2602446461.84,69157822.0,1.91,0.0,,,,1776182400000
2026-04-16,38.88,39.43,38.4,39.25,40042221,1561061984.0,1.21,0.47,1.11,,,38.1778,5.845,1.735,8.4186,180939733856.25,2657561288.0,69157822.0,1.91,0.0,,,,1776268800000
2026-04-17,38.5,38.9,38.3,38.44,44760790,1723114480.0,-2.06,-0.81,1.24,,,37.39,5.724,1.6992,8.2449,177205690941.0,2723230426.32,69157822.0,1.91,0.0,,,,1776355200000
2026-04-20,38.45,39.14,37.88,38.12,51918925,1994619227.0,-0.83,-0.32,1.44,,,37.0787,5.677,1.6851,8.1763,175730513493.0,2770961465.36,69157822.0,1.91,0.0,,,,1776614400000
2026-04-21,38.13,38.14,37.36,37.8,39441464,1487684013.0,-0.84,-0.32,1.09,,,36.7674,5.629,1.6709,8.1076,174255336045.0,2752178524.4,69157822.0,1.91,0.0,,,,1776700800000
