交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,15.01,15.1,14.73,14.78,57319593,854553705.0,-1.53,-0.23,0.77,,,17.9735,1.785,2.191,4.3228,118306425192.36,637561754.0,82389966.0,1.1,0.0,,,,1773331200000
2026-03-16,14.72,14.9,14.53,14.56,41278689,606097574.0,-1.49,-0.22,0.55,,,17.706,1.759,2.1584,4.2584,116545436454.72,634572857.0,82389966.0,1.1,0.0,,,,1773590400000
2026-03-17,14.58,14.86,14.53,14.67,30492002,449599728.0,0.76,0.11,0.41,,,17.8397,1.772,2.1747,4.2906,117425930823.54,620010503.0,82389966.0,1.1,0.0,,,,1773676800000
2026-03-18,14.63,14.81,14.48,14.57,20516513,299479360.0,-0.68,-0.1,0.28,,,17.7181,1.76,2.1599,4.2613,116625481397.34,625823591.0,82389966.0,1.1,0.0,,,,1773763200000
2026-03-19,14.5,14.74,14.49,14.56,24906598,363595189.0,-0.07,-0.01,0.33,,,17.706,1.759,2.1584,4.2584,116545436454.72,634060789.0,82389966.0,1.1,0.0,,,,1773849600000
2026-03-20,14.55,14.74,14.41,14.51,19612377,285335179.0,-0.34,-0.05,0.26,,,17.6452,1.753,2.151,4.2438,116145211741.62,629944550.0,82389966.0,1.1,0.0,,,,1773936000000
2026-03-23,14.41,14.55,14.09,14.14,32468364,464211771.0,-2.55,-0.37,0.44,,,17.1952,1.708,2.0961,4.1356,113183548864.68,608748235.0,82389966.0,1.1,0.0,,,,1774195200000
2026-03-24,14.2,14.51,14.19,14.47,30091040,433069195.0,2.33,0.33,0.4,,,17.5965,1.748,2.145,4.2321,115825031971.14,607206694.0,82389966.0,1.1,0.0,,,,1774281600000
2026-03-25,14.47,14.82,14.3,14.68,31204311,456627070.0,1.45,0.21,0.42,,,17.8519,1.773,2.1762,4.2935,117505975766.16,601608286.0,82389966.0,1.1,0.0,,,,1774368000000
2026-03-26,14.65,14.96,14.58,14.88,34819469,516106968.0,1.36,0.2,0.47,,,18.0951,1.797,2.2058,4.352,119106874618.56,588451662.0,82389966.0,1.1,0.0,,,,1774454400000
2026-03-27,14.81,14.9,14.51,14.64,22887841,336260901.0,-1.61,-0.24,0.31,,,17.8033,1.768,2.1702,4.2818,117185795995.68,586421580.0,82389966.0,1.1,0.0,,,,1774540800000
2026-03-30,14.53,14.61,14.38,14.39,18938812,273843981.0,-1.71,-0.25,0.25,,,17.4992,1.738,2.1332,4.2087,115184672430.18,583622065.0,82389966.0,1.1,0.0,,,,1774800000000
2026-03-31,14.4,14.5,14.15,14.16,19159309,273693626.0,-1.6,-0.23,0.26,,,17.2195,1.71,2.0991,4.1414,113343638749.92,589021351.0,82389966.0,1.1,0.0,,,,1774886400000
2026-04-01,14.15,14.21,14.0,14.01,17664806,248517820.0,-1.06,-0.15,0.24,,,17.0371,1.692,2.0769,4.0976,112142964610.62,594748145.0,82389966.0,1.1,0.0,,,,1774972800000
2026-04-02,14.2,14.26,13.88,14.15,20941115,293805180.0,1.0,0.14,0.28,,,17.2074,1.709,2.0976,4.1385,113263593807.3,600229582.0,82389966.0,1.1,0.0,,,,1775059200000
2026-04-03,14.08,14.14,13.75,13.85,17687315,245240351.0,-2.12,-0.3,0.24,,,16.8426,1.673,2.0531,4.0508,110862245528.7,601029754.0,,,,,,,1775145600000
2026-04-07,13.82,13.84,13.4,13.45,26708711,361250261.0,-2.89,-0.4,0.36,,,16.3561,1.625,1.9938,3.9338,107660447823.9,615645492.0,,,,,,,1775491200000
2026-04-08,13.53,13.59,13.45,13.54,19799325,267419302.0,0.67,0.09,0.27,,,16.4656,1.635,2.0072,3.9601,108380852307.48,616892303.0,82389966.0,1.1,0.0,,,,1775577600000
2026-04-09,13.54,13.56,13.41,13.46,13722762,184764997.0,-0.59,-0.08,0.18,,,16.3683,1.626,1.9953,3.9367,107740492766.52,620704650.0,86423653.0,1.15,4033687.0,,,,1775664000000
2026-04-10,13.43,13.5,13.34,13.41,17281422,231768608.0,-0.37,-0.05,0.23,,,16.3075,1.62,1.9879,3.9221,107340268053.42,625171999.0,86423653.0,1.15,0.0,,,,1775750400000
2026-04-13,13.39,13.39,13.2,13.29,22587369,299306481.0,-0.89,-0.12,0.3,,,16.1616,1.605,1.9701,3.887,106379728741.98,641118487.0,86423653.0,1.15,0.0,,,,1776009600000
2026-04-14,13.27,13.35,13.1,13.22,21318184,280887739.0,-0.53,-0.07,0.29,,,16.0764,1.597,1.9597,3.8665,105819414143.64,658090194.0,86423653.0,1.15,0.0,,,,1776096000000
2026-04-15,13.24,13.48,13.18,13.38,19075236,255108993.0,1.21,0.16,0.26,,,16.271,1.616,1.9835,3.9133,107100133225.56,647519218.0,86423653.0,1.15,0.0,,,,1776182400000
2026-04-16,13.39,13.52,13.28,13.33,19517340,260622691.0,-0.37,-0.05,0.26,,,16.2102,1.61,1.9761,3.8987,106699908512.46,657025781.0,86423653.0,1.15,0.0,,,,1776268800000
2026-04-17,13.3,13.36,13.18,13.2,18045689,238617928.0,-0.98,-0.13,0.24,,,16.0521,1.594,1.9568,3.8607,105659324258.4,671901207.0,86423653.0,1.15,0.0,,,,1776355200000
2026-04-20,13.24,13.65,13.24,13.41,37975953,511240866.0,1.59,0.21,0.51,,,16.3075,1.62,1.9879,3.9221,107340268053.42,680107964.0,86423653.0,1.15,0.0,,,,1776614400000
2026-04-21,13.45,13.72,13.42,13.67,33741828,458992558.0,1.94,0.26,0.45,,,16.6237,1.651,2.0265,3.9981,109421436561.54,664926071.0,86423653.0,1.15,0.0,,,,1776700800000
2026-04-22,13.69,13.74,13.46,13.51,24935441,339073481.0,-1.17,-0.16,0.33,,,16.4291,1.632,2.0027,3.9513,108140717479.62,680961722.0,86423653.0,1.15,0.0,,,,1776787200000
2026-04-23,13.49,13.62,13.44,13.51,23232382,314148540.0,0.0,0.0,0.31,,,16.4291,1.632,2.0027,3.9513,108140717479.62,683522530.0,86423653.0,1.15,0.0,,,,1776873600000
2026-04-24,13.5,13.6,13.36,13.37,21795553,293137045.0,-1.04,-0.14,0.29,,,16.2588,1.615,1.982,3.9104,107020088282.94,,,,,,,,1776960000000
