交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,25.18,25.51,25.06,25.19,47943310,1213624863.0,-0.63,-0.16,1.53,,,30.7209,2.455,0.8984,17.8088,89359847043.72,4526940314.0,114234486.0,3.22,0.0,,,,1773331200000
2026-03-16,25.12,25.2,24.66,25.2,45013263,1122197759.0,0.04,0.01,1.43,,,30.7331,2.456,0.8988,17.8158,89395321377.6,4523549804.0,114234486.0,3.22,0.0,,,,1773590400000
2026-03-17,25.38,25.6,24.82,24.86,62914019,1586867869.0,-1.35,-0.34,2.0,,,30.3184,2.423,0.8866,17.5755,88189194025.68,4534767832.0,114234486.0,3.22,0.0,,,,1773676800000
2026-03-18,24.87,24.99,24.55,24.9,44466668,1100199607.0,0.16,0.04,1.42,,,30.3672,2.427,0.8881,17.6037,88331091361.2,4535238991.0,114234486.0,3.22,0.0,,,,1773763200000
2026-03-19,24.48,24.58,24.05,24.15,60196610,1461768898.0,-3.01,-0.75,1.92,,,29.4525,2.354,0.8613,17.0735,85670516320.2,4562460163.0,114234486.0,3.22,0.0,,,,1773849600000
2026-03-20,24.15,24.35,23.41,23.43,72549094,1734443175.0,-2.98,-0.72,2.31,,,28.5744,2.283,0.8356,16.5645,83116364280.84,4425481635.0,114234486.0,3.22,0.0,,,,1773936000000
2026-03-23,22.88,23.1,22.25,22.33,86455287,1960592752.0,-4.69,-1.1,2.75,,,27.2329,2.176,0.7964,15.7868,79214187554.04,4369417372.0,114234486.0,3.22,0.0,,,,1774195200000
2026-03-24,22.69,22.78,22.0,22.5,67441434,1504771876.0,0.76,0.17,2.15,,,27.4402,2.193,0.8025,15.907,79817251230.0,4384359396.0,114234486.0,3.22,0.0,,,,1774281600000
2026-03-25,22.6,23.44,22.6,23.33,88788906,2055581853.0,3.69,0.83,2.83,,,28.4525,2.274,0.8321,16.4938,82761620942.04,4391960787.0,114234486.0,3.22,0.0,,,,1774368000000
2026-03-26,23.22,23.39,22.66,22.71,57129951,1313928462.0,-2.66,-0.62,1.82,,,27.6964,2.213,0.81,16.0555,80562212241.48,4354467014.0,114234486.0,3.22,0.0,,,,1774454400000
2026-03-27,22.39,22.83,22.33,22.66,48090454,1087435486.0,-0.22,-0.05,1.53,,,27.6354,2.208,0.8082,16.0201,80384840572.08,4343460413.0,114234486.0,3.22,0.0,,,,1774540800000
2026-03-30,22.21,22.43,21.85,22.42,63309898,1402175348.0,-1.06,-0.24,2.02,,,27.3427,2.185,0.7996,15.8504,79533456558.96,4351141690.0,114234486.0,3.22,0.0,,,,1774800000000
2026-03-31,22.42,22.95,22.31,22.36,52364095,1182989752.0,-0.27,-0.06,1.67,,,27.2695,2.124,0.7975,15.808,79368601846.04,4319712689.0,114234486.0,3.22,0.0,,,,1774886400000
2026-04-01,22.8,22.97,22.62,22.8,44929346,1021863026.0,1.97,0.44,1.43,,,27.8061,2.165,0.8132,16.1191,80930416909.2,4337541215.0,114234486.0,3.22,0.0,,,,1774972800000
2026-04-02,22.7,23.08,22.47,22.56,51297109,1167971252.0,-1.05,-0.24,1.63,,,27.5134,2.143,0.8046,15.9494,80078517783.84,4321279735.0,114234486.0,3.22,0.0,,,,1775059200000
2026-04-03,22.66,22.72,22.15,22.21,36031455,804591154.0,-1.55,-0.35,1.15,,,27.0866,2.109,0.7921,15.702,78836164892.69,4295580971.0,,,,,,,1775145600000
2026-04-07,22.21,22.53,22.11,22.26,31624883,705696497.0,0.23,0.05,1.01,,,27.1476,2.114,0.7939,15.7373,79013643877.14,4299321251.0,,,,,,,1775491200000
2026-04-08,22.86,23.54,22.8,23.54,93875242,2177086450.0,5.75,1.28,2.99,,,28.7086,2.236,0.8396,16.6423,83557105879.06,4329738596.0,114234486.0,3.22,0.0,,,,1775577600000
2026-04-09,23.28,24.04,23.16,23.69,88679632,2096971169.0,0.64,0.15,2.83,,,28.8915,2.25,0.8449,16.7483,84089542832.41,4307513289.0,80804723.0,2.27,-33429763.0,,,,1775664000000
2026-04-10,23.97,24.78,23.89,24.41,114821410,2796062130.0,3.04,0.72,3.66,,,29.7696,2.318,0.8706,17.2573,86645240208.49,4361854528.0,80804723.0,2.27,0.0,,,,1775750400000
2026-04-13,24.1,24.49,24.01,24.3,62238005,1511496225.0,-0.45,-0.11,1.98,,,29.6355,2.308,0.8667,17.1796,86254786442.7,4327998592.0,80804723.0,2.27,0.0,,,,1776009600000
2026-04-14,24.6,24.7,24.29,24.49,66205735,1622923896.0,0.78,0.19,2.11,,,29.8672,2.326,0.8734,17.3139,86929206583.61,4379505589.0,80804723.0,2.27,0.0,,,,1776096000000
2026-04-15,24.65,24.75,24.05,24.1,62880030,1533849600.0,-1.59,-0.39,2.0,,,29.3916,2.289,0.8595,17.0382,85544870504.9,4398667702.0,80804723.0,2.27,0.0,,,,1776182400000
2026-04-16,24.16,24.37,24.0,24.22,61315561,1482239560.0,0.5,0.12,1.95,,,29.5379,2.3,0.8638,17.123,85970820067.58,4354694620.0,80804723.0,2.27,0.0,,,,1776268800000
2026-04-17,24.01,24.53,24.01,24.19,56977837,1381310674.0,-0.12,-0.03,1.82,,,29.5013,2.297,0.8627,17.1018,85864332676.91,4350293521.0,80804723.0,2.27,0.0,,,,1776355200000
