交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,22.56,22.94,21.82,22.11,85828696,1920295295.0,-1.6,-0.36,2.47,,,29.9298,3.229,5.0575,16.3532,120836032750.29,1508203312.0,77107189.0,2.21,0.0,,,,1773331200000
2026-03-16,21.98,24.08,21.8,23.77,128074152,2935400090.0,7.51,1.66,3.69,,,32.1769,3.472,5.4373,17.581,129908299343.03,1465634774.0,77107189.0,2.21,0.0,,,,1773590400000
2026-03-17,23.97,24.49,23.1,23.22,104197452,2470397091.0,-2.31,-0.55,3.0,,,31.4324,3.392,5.3114,17.1742,126902427881.58,1292291559.0,77107189.0,2.21,0.0,,,,1773676800000
2026-03-18,23.11,25.54,22.67,24.88,141391590,3482161766.0,7.15,1.66,4.07,,,33.6795,3.634,5.6912,18.4019,135974694474.32,1473955854.0,77107189.0,2.21,0.0,,,,1773763200000
2026-03-19,24.97,25.28,23.22,23.73,122147247,2907036625.0,-4.62,-1.15,3.52,,,32.1228,3.466,5.4281,17.5514,129689690509.47,1668955946.0,77107189.0,2.21,0.0,,,,1773849600000
2026-03-20,23.88,24.66,22.88,23.46,95483297,2266722030.0,-1.14,-0.27,2.75,,,31.7573,3.427,5.3663,17.3517,128214080882.94,1531957022.0,77107189.0,2.21,0.0,,,,1773936000000
2026-03-23,23.49,24.64,23.32,23.52,105716033,2521883416.0,0.26,0.06,3.04,,,31.8385,3.435,5.3801,17.3961,128541994133.28,1411087096.0,77107189.0,2.21,0.0,,,,1774195200000
2026-03-24,23.9,25.87,23.32,25.87,145817964,3657522986.0,9.99,2.35,4.2,,,35.0197,3.779,5.9176,19.1342,141385263104.93,1490228992.0,77107189.0,2.21,0.0,,,,1774281600000
2026-03-25,26.7,27.17,24.68,25.33,144301253,3744678712.0,-2.09,-0.54,4.15,,,34.2887,3.7,5.7941,18.7348,138434043851.87,1461511435.0,77107189.0,2.21,0.0,,,,1774368000000
2026-03-26,25.33,25.33,23.66,23.9,114811616,2782224089.0,-5.65,-1.43,3.3,,,32.3529,3.491,5.467,17.6771,130618778052.1,1506550368.0,77107189.0,2.21,0.0,,,,1774454400000
2026-03-27,23.49,24.29,22.7,23.69,93787881,2209666708.0,-0.88,-0.21,2.7,,,32.0686,2.79,5.419,17.5218,129471081675.91,1441345382.0,77107189.0,2.21,0.0,,,,1774540800000
2026-03-30,23.23,23.74,22.2,22.6,108389023,2470419421.0,-4.6,-1.09,3.12,,,30.5931,2.662,5.1696,16.7156,123513990961.4,1466970614.0,77107189.0,2.21,0.0,,,,1774800000000
2026-03-31,22.92,23.09,21.66,22.0,95743341,2121221251.0,-2.65,-0.6,2.76,,,29.7809,2.591,5.0324,16.2718,120234858458.0,1463804847.0,77107189.0,2.21,0.0,,,,1774886400000
2026-04-01,22.38,24.15,22.2,23.65,114321924,2707940393.0,7.5,1.65,3.29,,,32.0145,2.785,5.4098,17.4922,129252472842.35,1407496079.0,77107189.0,2.21,0.0,,,,1774972800000
2026-04-02,23.14,25.82,23.14,24.27,120764082,2984177499.0,2.62,0.62,3.48,,,32.8538,2.858,5.5516,17.9508,132640909762.53,1360048947.0,77107189.0,2.21,0.0,,,,1775059200000
2026-04-03,25.5,26.0,24.79,24.85,92666591,2342815899.0,2.39,0.58,2.67,,,33.6389,2.927,5.6843,18.3798,135810737849.15,1388448685.0,,,,,,,1775145600000
2026-04-07,25.76,26.45,25.02,25.95,87794017,2271370908.0,4.43,1.1,2.53,,,35.128,3.056,5.9359,19.1933,141822480772.05,1478163923.0,,,,,,,1775491200000
2026-04-08,25.5,27.0,24.33,26.07,131724810,3444526129.0,0.46,0.12,3.79,,,35.2904,3.07,5.9634,19.2821,142478307272.73,1518277953.0,77107189.0,2.21,0.0,,,,1775577600000
2026-04-09,26.53,26.81,24.96,25.56,75604041,1945485446.0,-1.96,-0.51,2.18,,,34.6,3.01,5.8467,18.9049,139691044644.84,1513099448.0,115452371.0,3.32,38345182.0,,,,1775664000000
2026-04-10,25.66,25.76,23.8,24.11,102702864,2512978949.0,-5.67,-1.45,2.96,,,32.6372,2.84,5.515,17.8324,131766474428.29,1595619225.0,115452371.0,3.32,0.0,,,,1775750400000
2026-04-13,24.07,24.08,22.7,22.93,83695492,1936084001.0,-4.89,-1.18,2.41,,,31.0398,2.701,5.2451,16.9597,125317513838.27,1519628905.0,115452371.0,3.32,0.0,,,,1776009600000
2026-04-14,22.87,23.19,22.3,22.75,86360639,1952914634.0,-0.78,-0.18,2.49,,,30.7962,2.679,5.2039,16.8265,124333774087.25,1573768254.0,115452371.0,3.32,0.0,,,,1776096000000
2026-04-15,22.5,23.02,22.35,22.42,66786774,1508905610.0,-1.45,-0.33,1.92,,,30.3495,2.64,5.1284,16.5825,122530251210.38,1526952481.0,115452371.0,3.32,0.0,,,,1776182400000
2026-04-16,22.45,22.65,21.89,21.99,64366202,1423500355.0,-1.92,-0.43,1.85,,,29.7674,2.59,5.0301,16.2644,120180206249.61,1569039611.0,115452371.0,3.32,0.0,,,,1776268800000
2026-04-17,21.88,22.02,21.2,21.95,86552346,1873834385.0,-0.18,-0.04,2.49,,,29.7132,2.585,5.0209,16.2348,119961597416.05,1556698810.0,115452371.0,3.32,0.0,,,,1776355200000
2026-04-20,22.13,22.53,21.66,22.28,59103114,1310998735.0,1.5,0.33,1.7,,,30.16,2.624,5.0964,16.4789,121765120292.92,1615726522.0,115452371.0,3.32,0.0,,,,1776614400000
2026-04-21,22.2,22.78,22.06,22.39,61263744,1372173052.0,0.49,0.11,1.76,,,30.3089,2.637,5.1216,16.5603,122366294585.21,1573346897.0,115452371.0,3.32,0.0,,,,1776700800000
