交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,9.97,10.48,9.97,10.14,278553928,2840070387.0,1.71,0.17,4.58,,,9.6209,0.945,0.3257,42.9005,61921594882.68,2054100374.0,204033951.0,3.35,0.0,,,,1773331200000
2026-03-16,10.13,10.23,9.48,9.52,257069196,2499512215.0,-6.11,-0.62,4.22,,,9.0327,0.887,0.3058,40.2774,58135461862.24,2087522414.0,204033951.0,3.35,0.0,,,,1773590400000
2026-03-17,9.59,9.67,9.33,9.35,147883866,1402100837.0,-1.79,-0.17,2.43,,,8.8714,0.871,0.3003,39.5581,57097328614.7,2115083127.0,204033951.0,3.35,0.0,,,,1773676800000
2026-03-18,9.36,9.39,9.17,9.29,135705310,1255986987.0,-0.64,-0.06,2.23,,,8.8144,0.866,0.2984,39.3043,56730928644.98,2138525104.0,204033951.0,3.35,0.0,,,,1773763200000
2026-03-19,9.35,9.44,8.99,9.05,153644566,1411426487.0,-2.58,-0.24,2.52,,,8.5867,0.843,0.2907,38.2889,55265328766.1,2159715808.0,204033951.0,3.35,0.0,,,,1773849600000
2026-03-20,9.02,9.09,8.78,8.81,141386092,1257614544.0,-2.65,-0.24,2.32,,,8.359,0.821,0.283,37.2735,53799728887.22,2191488833.0,204033951.0,3.35,0.0,,,,1773936000000
2026-03-23,8.67,8.92,8.57,8.64,152104347,1324415321.0,-1.93,-0.17,2.5,,,8.1977,0.805,0.2775,36.5542,52761595639.68,2183998658.0,204033951.0,3.35,0.0,,,,1774195200000
2026-03-24,8.75,8.76,8.47,8.7,120005511,1033607608.0,0.69,0.06,1.97,,,8.2546,0.811,0.2794,36.8081,53127995609.4,2218596872.0,204033951.0,3.35,0.0,,,,1774281600000
2026-03-25,8.87,9.45,8.87,9.34,222696376,2044880107.0,7.36,0.64,3.66,,,8.8619,0.849,0.3,39.5158,57036261953.08,2138518388.0,204033951.0,3.35,0.0,,,,1774368000000
2026-03-26,9.36,9.47,9.05,9.13,136380633,1258082416.0,-2.25,-0.21,2.24,,,8.6626,0.83,0.2932,38.6273,55753862059.06,2123203773.0,204033951.0,3.35,0.0,,,,1774454400000
2026-03-27,9.01,9.2,9.0,9.1,119912438,1089408976.0,-0.33,-0.03,1.97,,,8.6342,0.827,0.2923,38.5004,55570662074.2,2147251184.0,204033951.0,3.35,0.0,,,,1774540800000
2026-03-30,9.0,9.11,8.87,9.06,111344503,1003614612.0,-0.44,-0.04,1.83,,,8.5962,0.823,0.291,38.3312,55326395427.72,2144939367.0,204033951.0,3.35,0.0,,,,1774800000000
2026-03-31,9.02,9.1,8.78,8.79,111715653,994780160.0,-2.98,-0.27,1.83,,,8.34,0.799,0.2823,37.1889,53677595563.98,2167009497.0,204033951.0,3.35,0.0,,,,1774886400000
2026-04-01,8.96,9.06,8.94,8.98,109399003,983471972.0,2.16,0.19,1.8,,,8.5203,0.816,0.2884,37.9927,54837862134.76,2152979259.0,204033951.0,3.35,0.0,,,,1774972800000
